pub_date,abstract,snippet,lead_paragraph,web_url,section_name,headline
2014-01-10 02:56:53+00:00,"The trial, which was cut short, showed that Intercept Pharmaceuticals might have a treatment for a fatty liver disease.","The trial, which was cut short, showed that Intercept Pharmaceuticals might have a treatment for a fatty liver disease.",Shares of a small biotechnology company nearly quadrupled Thursday after a clinical trial suggested the firm might have the first effective treatment for a fatty liver disease associated with the nation’s epidemic of obesity. ,https://www.nytimes.com/2014/01/10/business/promising-drug-trial-lifts-stock-of-company.html,Business Day,
2014-01-31 16:49:26+00:00,"Motif, an investment site, tries to help small investors buy collections of stock based on long-term themes or trends.","Motif, an investment site, tries to help small investors buy collections of stock based on long-term themes or trends.","ARTHUR LEVITT JR., the former chairman of the Securities and Exchange Commission, acknowledged that he found “The Seven Deadly Sins” irresistible — so much so that he plunked down $5,000 as an initial investment and has since put in more.",https://www.nytimes.com/2014/02/01/your-money/when-buying-stock-in-gluttony-is-a-good-investment.html,Your Money,"{'main': 'When Buying Stock in Gluttony Is a Good Investment', 'kicker': None, 'content_kicker': None, 'print_headline': 'When Buying Stock in Gluttony Is a Good Investment', 'name': None, 'seo': None, 'sub': None}"
2014-02-05 02:15:23+00:00,"The compensation for Mr. Schmidt, Google’s chairman, came after a year in which its stock soared and ahead of an expected antitrust settlement with the European Union.","The compensation for Mr. Schmidt, Google’s chairman, came after a year in which its stock soared and ahead of an expected antitrust settlement with the European Union."," Google said on Tuesday that it gave its chairman, Eric E. Schmidt, $100 million in restricted stock units — and for good measure, added $6 million in cash to be awarded on Valentine’s Day.",https://bits.blogs.nytimes.com/2014/02/04/google-gives-eric-schmidt-100-million-in-stock-options/,Technology,
2014-02-05 22:00:19+00:00,"The microblogging company said revenue for the quarter was $243 million, up from $112 million a year ago, and it reported a net loss of $511 million.","The microblogging company said revenue for the quarter was $243 million, up from $112 million a year ago, and it reported a net loss of $511 million.",SAN FRANCISCO — Twitter has finally acknowledged what any newcomer could have told the company within five minutes of signing up: The messaging service is too hard to use.,https://www.nytimes.com/2014/02/06/technology/twitters-share-price-falls-after-it-reports-4th-quarter-loss.html,Technology,
2014-02-10 02:03:40+00:00,Sheryl Sandberg’s nonprofit organization is partnering with the photo agency to try to eradicate stereotypes in stock images and portray women in more empowering ways.,Sheryl Sandberg’s nonprofit organization is partnering with the photo agency to try to eradicate stereotypes in stock images and portray women in more empowering ways.,"SAN FRANCISCO — There is the businesswoman, wearing a suit and glasses and holding a briefcase. There is the mother, smiling as she pours milk into her children’s cereal bowls at the breakfast table. There is the multitasker, holding a laptop in one hand and a baby in the other. ",https://www.nytimes.com/2014/02/10/business/leaninorg-and-getty-aim-to-change-womens-portrayal-in-stock-photos.html,Business Day,
2014-02-11 22:32:52+00:00,"The S.E.C. may have helped create the problem it is now hoping to solve — where institutional investors say they are outgunned by high-frequency traders and individual investors are adrift, Steven M. Davidoff writes.","The S.E.C. may have helped create the problem it is now hoping to solve — where institutional investors say they are outgunned by high-frequency traders and individual investors are adrift, Steven M. Davidoff writes.","There are now at least 58 stock exchanges in the United States, many of them dark pools where the trades can be made anonymously. With institutional investors claiming they are outgunned by high-frequency traders, and individual investors adrift in fragmented markets, it’s no wonder that Mary Jo White, the new head of the Securities and Exchange Commission, is moving to review and overhaul how stocks are traded. The issue is that the S.E.C. may have created the problem it is now hoping to solve.",https://dealbook.nytimes.com/2014/02/11/s-e-c-s-review-of-stock-trading-will-see-some-of-its-own-work/,Business Day,"{'main': 'S.E.C.’s Review of Stock Trading Will See Some of Its Own Work', 'kicker': 'DealBook', 'content_kicker': None, 'print_headline': 'S.E.C.’s Review of Trading Will See Some of Its Own Work', 'name': None, 'seo': None, 'sub': None}"
2014-02-14 19:03:38+00:00,"To promote the I.P.O. market and thus job growth, Congress is considering changing the increments in which stock prices are quoted. But research suggests that this move may not accomplish those goals, writes Steven M. Davidoff in the Deal Professor column.","To promote the I.P.O. market and thus job growth, Congress is considering changing the increments in which stock prices are quoted. But research suggests that this move may not accomplish those goals, writes Steven M. Davidoff in the Deal Professo...",Call it the JOBS Act’s little brother. ,https://dealbook.nytimes.com/2014/02/14/change-the-way-stock-prices-are-quoted-to-help-the-economy-the-s-e-c-is-skeptical/,Business Day,
2014-02-18 19:10:06+00:00,"For the first time since 1992, foreigners were net sellers of American stocks in 2013.","For the first time since 1992, foreigners were net sellers of American stocks in 2013.","The Treasury on Tuesday released its estimates of international capital flows into and out of the United States, and they indicate that foreigners were net sellers of $40.2 billion of American stocks in 2013. That is hardly a large amount, but it is the first year since 1992 that they were net sellers.",https://economix.blogs.nytimes.com/2014/02/18/taking-their-investments-elsewhere/,Business Day,
2014-02-19 17:00:02+00:00,"Good things keep happening to Questcor in the middle of the month, which coincides with the stock selling plan of its chief executive, Jesse Eisinger writes in The Trade column.","Good things keep happening to Questcor in the middle of the month, which coincides with the stock selling plan of its chief executive, Jesse Eisinger writes in The Trade column.",This is the story of a company and its fortunate chief executive.,https://dealbook.nytimes.com/2014/02/19/repeated-good-fortune-in-timing-of-c-e-o-s-stock-sale/,Business Day,
2014-02-19 17:48:54+00:00,"James P. Gorman, the chief executive of Morgan Stanley, gave away nearly $1 million worth of stock he owned in the bank last week.","James P. Gorman, the chief executive of Morgan Stanley, gave away nearly $1 million worth of stock he owned in the bank last week.","James P. Gorman, the chief executive of Morgan Stanley, gave away nearly $1 million worth of stock he owned in the bank last week. ",https://dealbook.nytimes.com/2014/02/19/morgan-stanley-chief-discloses-stock-gift/,Business Day,"{'main': 'Morgan Stanley Chief Discloses Stock Gift', 'kicker': 'DealBook', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}"
2014-02-20 01:15:58+00:00,"During Brian Moynihan’s tenure as chief executive, Bank of America has been digging out from mortgage problems, shoring up its capital levels and laying off employees.","During Brian Moynihan’s tenure as chief executive, Bank of America has been digging out from mortgage problems, shoring up its capital levels and laying off employees.","Brian T. Moynihan, the chief executive of Bank of America, received about $12.5 million in restricted stock grants for 2013, according to a regulatory filing on Wednesday night.",https://dealbook.nytimes.com/2014/02/19/moynihan-receives-12-5-million-in-stock/,Business Day,
2014-02-24 16:38:18+00:00,"The risk for Facebook and Bitcoin, respectively, is that someone creates a better social network or decentralized digital currency, writes Rob Cox of Reuters Breakingviews.","The risk for Facebook and Bitcoin, respectively, is that someone creates a better social network or decentralized digital currency, writes Rob Cox of Reuters Breakingviews.","With its extraordinary swoop on WhatsApp last week, Facebook proved its stock is not so different from the crypto-currency of the moment, Bitcoin. They can both be used for certain, specific purposes. Neither is backed by a government. Both depend on vast networks of individuals. And their worth reflects demand, which is based on murky fundamentals. The trick: monetize them while they still have value.",https://dealbook.nytimes.com/2014/02/24/facebook-stock-not-so-different-than-bitcoin/,Business Day,
2014-03-03 23:42:11+00:00,"Two of Carlyle’s three founders plan to sell 7.5 million common units of Carlyle, according to a filing on Monday. Carlyle itself is selling 4.5 million common units. The offering of 12 million shares would raise about $435 million.","Two of Carlyle’s three founders plan to sell 7.5 million common units of Carlyle, according to a filing on Monday. Carlyle itself is selling 4.5 million common units. The offering of 12 million shares would raise about $435 million.",Executives of the Carlyle Group are preparing to sell shares in the private equity firm for the first time since it went public two years ago.,https://dealbook.nytimes.com/2014/03/03/carlyle-insiders-to-sell-some-of-their-stock/,Business Day,
2014-03-04 13:05:28+00:00,Brit Insurance is the latest company owned by private equity to announce an initial public offering in London. The insurer was taken private by Apollo Global Management and CVC Capital Partners in 2010.,Brit Insurance is the latest company owned by private equity to announce an initial public offering in London. The insurer was taken private by Apollo Global Management and CVC Capital Partners in 2010.,LONDON – The specialty insurer Brit Insurance said on Tuesday that it was planning an initial public offering on the London Stock Exchange later this year.,https://dealbook.nytimes.com/2014/03/04/brit-insurance-joins-i-p-o-flurry-among-private-equity-holdings/,Business Day,"{'main': 'Brit Insurance Joins I.P.O. Flurry Among Private Equity Holdings', 'kicker': 'DealBook', 'content_kicker': None, 'print_headline': 'Going Public, Part 2', 'name': None, 'seo': None, 'sub': None}"
2014-03-04 16:55:48+00:00,"Jeffrey R. Immelt, the chief executive of General Electric, bought about 105,000 shares on Tuesday for a little more than $2.6 million, according to a company filing.","Jeffrey R. Immelt, the chief executive of General Electric, bought about 105,000 shares on Tuesday for a little more than $2.6 million, according to a company filing.","Jeffrey R. Immelt, the chief executive of General Electric, says he spent his whole 2013 cash bonus on G.E. stock.",https://dealbook.nytimes.com/2014/03/04/immelt-spends-his-cash-bonus-on-g-e-stock/,Business Day,"{'main': 'Immelt Spends His Cash Bonus on G.E. Stock', 'kicker': 'DealBook', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}"
2014-03-06 20:48:07+00:00,"News reports have suggested that staff members of the S.E.C. were profiting from stock sales. But the employees were just lucky rather than sharp insider traders, writes Steven M. Davidoff in the Deal Professor column.","News reports have suggested that staff members of the S.E.C. were profiting from stock sales. But the employees were just lucky rather than sharp insider traders, writes Steven M. Davidoff in the Deal Professor column.","Is the Securities and Exchange Commission a warren for insider trading? If you’ve read recent headlines like “The Incredible Stock-Picking Ability of SEC Employees,” you’d think so. ",https://dealbook.nytimes.com/2014/03/06/the-reality-behind-the-stock-picking-skills-of-s-e-c-employees/,Business Day,
